Bo_gene	subgenome	At_gene
Bo5g148470	MF1	AT3G03980
Bo5g148480	MF1	AT3G03990
Bo5g148460	MF1	AT3G04010
Bo5g148450	MF1	AT3G04020
Bo5g148440	MF1	AT3G04050
Bo5g148390	MF1	AT3G04100
Bo5g148380	MF1	AT3G04120
Bo5g148370	MF1	AT3G04130
Bo5g148360	MF1	AT3G04140
Bo5g148320	MF1	AT3G04230
Bo5g148300	MF1	AT3G04280
Bo5g148280	MF1	AT3G04290
Bo5g148270	MF1	AT3G04300
Bo5g148260	MF1	AT3G04310
Bo5g148250	MF1	AT3G04340
Bo5g148230	MF1	AT3G04360
Bo5g148190	MF1	AT3G04450
Bo5g148180	MF1	AT3G04460
Bo5g148160	MF1	AT3G04480
Bo5g148150	MF1	AT3G04490
Bo5g148140	MF1	AT3G04500
Bo5g148130	MF1	AT3G04510
Bo5g148120	MF1	AT3G04520
Bo5g148110	MF1	AT3G04530
Bo5g148100	MF1	AT3G04560
Bo5g148090	MF1	AT3G04570
Bo5g148080	MF1	AT3G04580
Bo5g147020	MF1	AT3G04740
Bo5g147010	MF1	AT3G04750
Bo5g147000	MF1	AT3G04760
Bo5g146990	MF1	AT3G04780
Bo5g146970	MF1	AT3G04810
Bo5g146960	MF1	AT3G04830
Bo5g146940	MF1	AT3G04860
Bo5g146930	MF1	AT3G04870
Bo5g146920	MF1	AT3G04880
Bo5g146910	MF1	AT3G04890
Bo5g146900	MF1	AT3G04910
Bo1g151770	MF1	AT3G05020
Bo1g151780	MF1	AT3G05050
Bo1g151790	MF1	AT3G05100
Bo1g151810	MF1	AT3G05150
Bo1g151760	MF1	AT3G05170
Bo1g151750	MF1	AT3G05180
Bo1g151730	MF1	AT3G05190
Bo1g151740	MF1	AT3G05190
Bo1g151720	MF1	AT3G05200
Bo1g151710	MF1	AT3G05220
Bo1g151690	MF1	AT3G05310
Bo1g151660	MF1	AT3G05330
Bo1g151630	MF1	AT3G05380
Bo1g151550	MF1	AT3G05500
Bo1g150530	MF1	AT3G05560
Bo1g150500	MF1	AT3G05580
Bo1g150480	MF1	AT3G05590
Bo1g150470	MF1	AT3G05610
Bo1g150440	MF1	AT3G05630
Bo1g150420	MF1	AT3G05690
Bo1g150410	MF1	AT3G05710
Bo1g150340	MF1	AT3G05780
Bo1g150330	MF1	AT3G05800
Bo1g150310	MF1	AT3G05820
Bo1g150300	MF1	AT3G05830
Bo1g150290	MF1	AT3G05840
Bo1g150270	MF1	AT3G05858
Bo1g150260	MF1	AT3G05860
Bo1g150240	MF1	AT3G05880
Bo1g150220	MF1	AT3G05920
Bo1g150170	MF1	AT3G05960
Bo1g150160	MF1	AT3G05975
Bo1g150150	MF1	AT3G05980
Bo1g150140	MF1	AT3G05990
Bo1g150120	MF1	AT3G06010
Bo1g150090	MF1	AT3G06070
Bo1g150080	MF1	AT3G06120
Bo1g150060	MF1	AT3G06180
Bo1g150070	MF1	AT3G06190
Bo1g150050	MF1	AT3G06260
Bo1g149030	MF1	AT3G06270
Bo1g149020	MF1	AT3G06330
Bo1g149000	MF1	AT3G06360
Bo1g148960	MF1	AT3G06400
Bo1g148950	MF1	AT3G06410
Bo1g148940	MF1	AT3G06440
Bo1g148890	MF1	AT3G06460
Bo1g147890	MF1	AT3G06490
Bo1g147860	MF1	AT3G06590
Bo1g147850	MF1	AT3G06600
Bo1g147840	MF1	AT3G06610
Bo1g147780	MF1	AT3G06660
Bo1g147770	MF1	AT3G06670
Bo1g147760	MF1	AT3G06680
Bo1g147750	MF1	AT3G06730
Bo1g147740	MF1	AT3G06740
Bo1g147730	MF1	AT3G06760
Bo1g147720	MF1	AT3G06778
Bo1g147710	MF1	AT3G06790
Bo1g147700	MF1	AT3G06830
Bo1g147690	MF1	AT3G06840
Bo1g147680	MF1	AT3G06850
Bo1g147670	MF1	AT3G06860
Bo1g147660	MF1	AT3G06868
Bo1g147650	MF1	AT3G06910
Bo1g147640	MF1	AT3G06960
Bo1g147590	MF1	AT3G07050
Bo1g147570	MF1	AT3G07080
Bo1g147550	MF1	AT3G07120
Bo1g147540	MF1	AT3G07130
Bo1g147530	MF1	AT3G07160
Bo1g147490	MF1	AT3G07250
Bo1g147480	MF1	AT3G07270
Bo1g147460	MF1	AT3G07290
Bo1g147450	MF1	AT3G07300
Bo1g147400	MF1	AT3G07310
Bo1g147390	MF1	AT3G07350
Bo1g147370	MF1	AT3G07360
Bo1g147340	MF1	AT3G07410
Bo1g147330	MF1	AT3G07430
Bo1g147320	MF1	AT3G07460
Bo1g147310	MF1	AT3G07490
Bo1g147300	MF1	AT3G07560
Bo1g147290	MF1	AT3G07565
Bo1g147260	MF1	AT3G07590
Bo1g147240	MF1	AT3G07650
Bo1g147210	MF1	AT3G07750
Bo1g147180	MF1	AT3G07780
Bo1g147170	MF1	AT3G07790
Bo1g147160	MF1	AT3G07800
Bo1g147150	MF1	AT3G07810
Bo1g146120	MF1	AT3G07820
Bo1g146130	MF1	AT3G07880
Bo1g146140	MF1	AT3G07890
Bo1g146150	MF1	AT3G07910
Bo1g145120	MF1	AT3G07940
Bo1g145110	MF1	AT3G07950
Bo1g145100	MF1	AT3G07960
Bo1g145070	MF1	AT3G08020
Bo1g145060	MF1	AT3G08030
Bo1g145050	MF1	AT3G08040
Bo1g145030	MF1	AT3G08510
Bo1g145010	MF1	AT3G08550
Bo1g145000	MF1	AT3G08610
Bo1g144990	MF1	AT3G08630
Bo1g144980	MF1	AT3G08650
Bo1g144890	MF1	AT3G08760
Bo1g144880	MF1	AT3G08790
Bo1g144870	MF1	AT3G08870
Bo1g144860	MF1	AT3G08880
Bo1g144850	MF1	AT3G08910
Bo1g144780	MF1	AT3G09010
Bo1g144770	MF1	AT3G09020
Bo1g144760	MF1	AT3G09032
Bo1g144750	MF1	AT3G09050
Bo1g144740	MF1	AT3G09070
Bo1g144730	MF1	AT3G09080
Bo1g144720	MF1	AT3G09085
Bo1g144690	MF1	AT3G09210
Bo1g144680	MF1	AT3G09230
Bo1g144670	MF1	AT3G09240
Bo1g144660	MF1	AT3G09250
Bo1g144650	MF1	AT3G09260
Bo1g144640	MF1	AT3G09270
Bo1g144600	MF1	AT3G09290
Bo1g144580	MF1	AT3G09300
Bo1g144480	MF1	AT3G09405
Bo1g144470	MF1	AT3G09440
Bo1g144460	MF1	AT3G09500
Bo1g144420	MF1	AT3G09560
Bo1g144390	MF1	AT3G09640
Bo1g144380	MF1	AT3G09680
Bo1g144370	MF1	AT3G09690
Bo1g144350	MF1	AT3G09700
Bo1g144340	MF1	AT3G09710
Bo1g144310	MF1	AT3G09730
Bo1g144290	MF1	AT3G09740
Bo1g144280	MF1	AT3G09770
Bo1g144260	MF1	AT3G09820
Bo1g144250	MF1	AT3G09830
Bo1g144240	MF1	AT3G09840
Bo1g144200	MF1	AT3G10070
Bo1g144170	MF1	AT3G10080
Bo1g144160	MF1	AT3G10120
Bo1g144150	MF1	AT3G10160
Bo1g144130	MF1	AT3G10185
Bo1g144090	MF1	AT3G10220
Bo1g144030	MF1	AT3G10250
Bo1g144000	MF1	AT3G10300
Bo1g143990	MF1	AT3G10350
Bo1g143980	MF1	AT3G10350
Bo1g143970	MF1	AT3G10370
Bo1g143940	MF1	AT3G10420
Bo1g143880	MF1	AT3G10440
Bo1g143870	MF1	AT3G10460
Bo1g143860	MF1	AT3G10470
Bo1g143830	MF1	AT3G10480
Bo1g143810	MF1	AT3G10520
Bo1g143800	MF1	AT3G10525
Bo1g143770	MF1	AT3G10550
Bo1g142590	MF1	AT3G10600
Bo1g143690	MF1	AT3G10630
Bo1g143680	MF1	AT3G10650
Bo1g143670	MF1	AT3G10680
Bo1g141540	MF1	AT3G10710
Bo1g141550	MF1	AT3G10710
Bo1g141510	MF1	AT3G10740
Bo1g141500	MF1	AT3G10750
Bo1g141480	MF1	AT3G10760
Bo1g141470	MF1	AT3G10770
Bo1g141440	MF1	AT3G10780
Bo1g141430	MF1	AT3G10810
Bo1g141420	MF1	AT3G10860
Bo1g141410	MF1	AT3G10870
Bo1g141400	MF1	AT3G10890
Bo1g141380	MF1	AT3G10910
Bo1g141370	MF1	AT3G10915
Bo1g141360	MF1	AT3G10920
Bo1g141340	MF1	AT3G10960
Bo1g141220	MF1	AT3G11100
Bo1g141210	MF1	AT3G11130
Bo1g141200	MF1	AT3G11150
Bo1g141170	MF1	AT3G11180
Bo1g141160	MF1	AT3G11200
Bo1g141150	MF1	AT3G11210
Bo1g141140	MF1	AT3G11230
Bo1g141100	MF1	AT3G11320
Bo1g140980	MF1	AT3G11550
Bo1g140970	MF1	AT3G11570
Bo1g139940	MF1	AT3G11591
Bo1g139930	MF1	AT3G11600
Bo1g139920	MF1	AT3G11630
Bo1g139910	MF1	AT3G11640
Bo1g139900	MF1	AT3G11650
Bo1g139890	MF1	AT3G11660
Bo1g139880	MF1	AT3G11680
Bo1g139870	MF1	AT3G11690
Bo1g139860	MF1	AT3G11700
Bo1g139850	MF1	AT3G11710
Bo1g139830	MF1	AT3G11750
Bo1g139820	MF1	AT3G11760
Bo1g139790	MF1	AT3G11830
Bo1g139780	MF1	AT3G11840
Bo1g139770	MF1	AT3G11850
Bo1g139760	MF1	AT3G11910
Bo1g139750	MF1	AT3G11920
Bo1g139730	MF1	AT3G11930
Bo1g141130	MF1	AT3G11960
Bo1g139700	MF1	AT3G11980
Bo1g139680	MF1	AT3G12020
Bo1g139670	MF1	AT3G12020
Bo1g139660	MF1	AT3G12020
Bo1g139650	MF1	AT3G12030
Bo1g139640	MF1	AT3G12050
Bo1g139630	MF1	AT3G12060
Bo1g139600	MF1	AT3G12090
Bo1g139590	MF1	AT3G12120
Bo1g139580	MF1	AT3G12130
Bo1g139540	MF1	AT3G12160
Bo1g139510	MF1	AT3G12200
Bo1g139480	MF1	AT3G12203
Bo1g139470	MF1	AT3G12250
Bo1g139460	MF1	AT3G12280
Bo1g139450	MF1	AT3G12290
Bo1g139420	MF1	AT3G12300
Bo1g139340	MF1	AT3G12360
Bo1g139330	MF1	AT3G12370
Bo1g139320	MF1	AT3G12390
Bo1g139230	MF1	AT3G12480
Bo1g139170	MF1	AT3G12510
Bo1g139150	MF1	AT3G12560
Bo1g139140	MF1	AT3G12570
Bo1g139130	MF1	AT3G12580
Bo1g139120	MF1	AT3G12590
Bo1g139110	MF1	AT3G12600
Bo1g139100	MF1	AT3G12610
Bo1g139090	MF1	AT3G12620
Bo1g139080	MF1	AT3G12630
Bo1g139070	MF1	AT3G12640
Bo1g139060	MF1	AT3G12660
Bo1g139040	MF1	AT3G12685
Bo1g139030	MF1	AT3G12690
Bo1g139020	MF1	AT3G12700
Bo1g139010	MF1	AT3G12710
Bo1g138990	MF1	AT3G12720
Bo1g138980	MF1	AT3G12730
Bo1g138970	MF1	AT3G12760
Bo1g138940	MF1	AT3G12820
Bo1g138910	MF1	AT3G12830
Bo1g138900	MF1	AT3G12870
Bo1g138880	MF1	AT3G12880
Bo1g138840	MF1	AT3G12880
Bo1g138820	MF1	AT3G12890
Bo1g138810	MF1	AT3G12900
Bo1g138780	MF1	AT3G12920
Bo1g138770	MF1	AT3G12930
Bo1g138760	MF1	AT3G12950
Bo1g138750	MF1	AT3G12955
Bo1g138740	MF1	AT3G12960
Bo1g138720	MF1	AT3G12980
Bo1g138680	MF1	AT3G13010
Bo1g138650	MF1	AT3G13040
Bo1g138590	MF1	AT3G13140
Bo1g138570	MF1	AT3G13150
Bo1g138560	MF1	AT3G13170
Bo1g138550	MF1	AT3G13175
Bo1g138540	MF1	AT3G13180
Bo1g138530	MF1	AT3G13200
Bo1g138520	MF1	AT3G13220
Bo1g138510	MF1	AT3G13222
Bo1g138500	MF1	AT3G13224
Bo1g138490	MF1	AT3G13225
Bo1g138440	MF1	AT3G13310
Bo1g138430	MF1	AT3G13320
Bo1g138400	MF1	AT3G13380
Bo1g138390	MF1	AT3G13380
Bo1g138350	MF1	AT3G13410
Bo1g138290	MF1	AT3G13460
Bo1g138270	MF1	AT3G13520
Bo1g138250	MF1	AT3G13540
Bo1g138240	MF1	AT3G13570
Bo1g136170	MF1	AT3G13600
Bo1g136160	MF1	AT3G13610
Bo1g136130	MF1	AT3G13630
Bo1g136120	MF1	AT3G13640
Bo1g135040	MF1	AT3G13670
Bo1g135030	MF1	AT3G13682
Bo1g135000	MF1	AT3G13690
Bo1g134960	MF1	AT3G13710
Bo1g134950	MF1	AT3G13730
Bo1g134940	MF1	AT3G13750
Bo1g134930	MF1	AT3G13784
Bo1g134920	MF1	AT3G13810
Bo1g134840	MF1	AT3G13820
Bo1g134830	MF1	AT3G13850
Bo1g134820	MF1	AT3G13870
Bo1g134800	MF1	AT3G13880
Bo1g134790	MF1	AT3G13890
Bo1g134780	MF1	AT3G13910
Bo1g134770	MF1	AT3G13920
Bo1g134760	MF1	AT3G13940
Bo1g134750	MF1	AT3G13950
Bo1g134740	MF1	AT3G13960
Bo1g134710	MF1	AT3G13980
Bo1g134680	MF1	AT3G13990
Bo1g134670	MF1	AT3G14000
Bo1g134660	MF1	AT3G14010
Bo1g134650	MF1	AT3G14020
Bo1g134640	MF1	AT3G14060
Bo1g134630	MF1	AT3G14067
Bo1g134620	MF1	AT3G14075
Bo1g134600	MF1	AT3G14120
Bo1g134590	MF1	AT3G14180
Bo1g134570	MF1	AT3G14190
Bo1g134560	MF1	AT3G14200
Bo1g134540	MF1	AT3G14205
Bo1g134520	MF1	AT3G14210
Bo1g134510	MF1	AT3G14230
Bo1g134490	MF1	AT3G14270
Bo1g134480	MF1	AT3G14280
Bo1g133330	MF1	AT3G14410
Bo1g132310	MF1	AT3G14450
Bo1g131190	MF1	AT3G14490
Bo1g131150	MF1	AT3G14560
Bo1g131140	MF1	AT3G14590
Bo1g130030	MF1	AT3G14730
Bo1g130020	MF1	AT3G14740
Bo1g130010	MF1	AT3G14760
Bo1g130000	MF1	AT3G14770
Bo1g129980	MF1	AT3G14790
Bo1g129920	MF1	AT3G14840
Bo1g129910	MF1	AT3G14850
Bo1g129870	MF1	AT3G14940
Bo1g129860	MF1	AT3G14950
Bo1g129840	MF1	AT3G15000
Bo1g129830	MF1	AT3G15030
Bo1g129820	MF1	AT3G15040
Bo1g129810	MF1	AT3G15050
Bo1g129800	MF1	AT3G15060
Bo1g129760	MF1	AT3G15095
Bo1g129750	MF1	AT3G15110
Bo1g129740	MF1	AT3G15115
Bo1g129730	MF1	AT3G15170
Bo1g129710	MF1	AT3G15210
Bo1g129700	MF1	AT3G15240
Bo1g129690	MF1	AT3G15270
Bo1g129680	MF1	AT3G15280
Bo1g129670	MF1	AT3G15300
Bo1g128580	MF1	AT3G15354
Bo1g128530	MF1	AT3G15355
Bo1g128570	MF1	AT3G15356
Bo1g128510	MF1	AT3G15390
Bo1g128480	MF1	AT3G15450
Bo1g128460	MF1	AT3G15490
Bo1g128410	MF1	AT3G15518
Bo1g128400	MF1	AT3G15530
Bo1g128390	MF1	AT3G15534
Bo1g128360	MF1	AT3G15540
Bo1g127330	MF1	AT3G15550
Bo1g127310	MF1	AT3G15620
Bo1g126130	MF1	AT3G15650
Bo1g126120	MF1	AT3G15660
Bo1g126110	MF1	AT3G15670
Bo1g126090	MF1	AT3G15680
Bo1g126080	MF1	AT3G15690
Bo1g126060	MF1	AT3G15700
Bo1g126050	MF1	AT3G15710
Bo1g126040	MF1	AT3G15730
Bo1g126030	MF1	AT3G15760
Bo1g126000	MF1	AT3G15820
Bo1g124970	MF1	AT3G15860
Bo1g124960	MF1	AT3G15880
Bo1g124940	MF1	AT3G15890
Bo1g124930	MF1	AT3G15920
Bo1g124910	MF1	AT3G15930
Bo1g124840	MF1	AT3G15990
Bo1g124820	MF1	AT3G16000
Bo1g124830	MF1	AT3G16000
Bo1g123410	MF1	AT3G16010
Bo1g124790	MF1	AT3G16050
Bo1g124750	MF1	AT3G16090
Bo1g123710	MF1	AT3G16130
Bo1g123690	MF1	AT3G16150
Bo1g123680	MF1	AT3G16160
Bo1g123670	MF1	AT3G16170
Bo1g123660	MF1	AT3G16175
Bo1g123650	MF1	AT3G16180
Bo1g123580	MF1	AT3G16250
Bo1g123570	MF1	AT3G16330
Bo1g123550	MF1	AT3G16340
Bo1g123540	MF1	AT3G16340
Bo1g123430	MF1	AT3G16500
Bo1g123390	MF1	AT3G16610
Bo1g123360	MF1	AT3G16640
Bo1g123350	MF1	AT3G16650
Bo1g123340	MF1	AT3G16660
Bo1g123330	MF1	AT3G16690
Bo1g123320	MF1	AT3G16700
Bo1g123280	MF1	AT3G16710
Bo1g123250	MF1	AT3G16720
Bo1g123240	MF1	AT3G16730
Bo1g123170	MF1	AT3G16760
Bo1g123160	MF1	AT3G16770
Bo1g123150	MF1	AT3G16780
Bo1g123120	MF1	AT3G16830
Bo1g123010	MF1	AT3G16840
Bo1g123000	MF1	AT3G16857
Bo1g122930	MF1	AT3G16880
Bo1g122960	MF1	AT3G16890
Bo1g122950	MF1	AT3G16900
Bo1g122940	MF1	AT3G16960
Bo1g122920	MF1	AT3G17000
Bo1g122910	MF1	AT3G17020
Bo1g122900	MF1	AT3G17030
Bo1g122870	MF1	AT3G17060
Bo1g122850	MF1	AT3G17060
Bo1g122830	MF1	AT3G17090
Bo1g122790	MF1	AT3G17100
Bo1g122730	MF1	AT3G17120
Bo1g122720	MF1	AT3G17130
Bo1g122700	MF1	AT3G17140
Bo1g122680	MF1	AT3G17150
Bo1g122670	MF1	AT3G17170
Bo1g122660	MF1	AT3G17180
Bo1g122650	MF1	AT3G17180
Bo1g121640	MF1	AT3G17205
Bo1g121610	MF1	AT3G17210
Bo1g121600	MF1	AT3G17220
Bo1g121540	MF1	AT3G17300
Bo1g120540	MF1	AT3G17465
Bo1g120490	MF1	AT3G17480
Bo1g120480	MF1	AT3G17480
Bo1g119430	MF1	AT3G17609
Bo1g119310	MF1	AT3G17690
Bo1g119260	MF1	AT3G17710
Bo1g119210	MF1	AT3G17760
Bo1g119200	MF1	AT3G17780
Bo1g119170	MF1	AT3G17790
Bo1g119160	MF1	AT3G17810
Bo1g119140	MF1	AT3G17820
Bo1g119130	MF1	AT3G17840
Bo1g119120	MF1	AT3G17850
Bo1g119100	MF1	AT3G17860
Bo1g119090	MF1	AT3G17900
Bo1g119080	MF1	AT3G17910
Bo1g119060	MF1	AT3G17940
Bo1g119030	MF1	AT3G17950
Bo1g119010	MF1	AT3G18000
Bo1g119020	MF1	AT3G18030
Bo1g119000	MF1	AT3G18030
Bo1g118990	MF1	AT3G18035
Bo1g118940	MF1	AT3G18090
Bo1g118930	MF1	AT3G18130
Bo1g118880	MF1	AT3G18170
Bo1g118870	MF1	AT3G18190
Bo1g117750	MF1	AT3G18190
Bo1g117760	MF1	AT3G18200
Bo1g118860	MF1	AT3G18210
Bo1g117770	MF1	AT3G18215
Bo1g118850	MF1	AT3G18215
Bo1g118790	MF1	AT3G18230
Bo1g118810	MF1	AT3G18260
Bo1g118820	MF1	AT3G18280
Bo1g117680	MF1	AT3G18290
Bo1g117660	MF1	AT3G18350
Bo1g117650	MF1	AT3G18360
Bo1g117640	MF1	AT3G18380
Bo1g117630	MF1	AT3G18390
Bo1g117610	MF1	AT3G18400
Bo1g117590	MF1	AT3G18410
Bo1g117580	MF1	AT3G18420
Bo1g117540	MF1	AT3G18490
Bo1g117500	MF1	AT3G18520
Bo1g117490	MF1	AT3G18550
Bo1g117460	MF1	AT3G18560
Bo1g117450	MF1	AT3G18570
Bo1g117440	MF1	AT3G18580
Bo1g117430	MF1	AT3G18590
Bo1g117420	MF1	AT3G18600
Bo1g117410	MF1	AT3G18630
Bo1g117400	MF1	AT3G18640
Bo1g117390	MF1	AT3G18650
Bo1g116390	MF1	AT3G18660
Bo1g116380	MF1	AT3G18690
Bo1g116350	MF1	AT3G18710
Bo1g116320	MF1	AT3G18715
Bo1g116310	MF1	AT3G18740
Bo1g116300	MF1	AT3G18750
Bo1g116290	MF1	AT3G18770
Bo1g116240	MF1	AT3G18773
Bo1g116200	MF1	AT3G18780
Bo1g116180	MF1	AT3G18790
Bo1g116170	MF1	AT3G18790
Bo1g116160	MF1	AT3G18810
Bo1g116150	MF1	AT3G18820
Bo1g116120	MF1	AT3G18830
Bo1g116080	MF1	AT3G18850
Bo1g116000	MF1	AT3G18900
Bo1g116130	MF1	AT3G18900
Bo1g115990	MF1	AT3G18950
Bo1g115960	MF1	AT3G19020
Bo1g115950	MF1	AT3G19030
Bo1g115940	MF1	AT3G19040
Bo1g114920	MF1	AT3G19100
Bo1g114910	MF1	AT3G19130
Bo1g114900	MF1	AT3G19160
Bo1g114880	MF1	AT3G19170
Bo1g114850	MF1	AT3G19260
Bo1g114840	MF1	AT3G19290
Bo1g114830	MF1	AT3G19310
Bo1g114770	MF1	AT3G19360
Bo1g114760	MF1	AT3G19380
Bo1g114700	MF1	AT3G19390
Bo1g114690	MF1	AT3G19420
Bo1g114680	MF1	AT3G19430
Bo1g114660	MF1	AT3G19470
Bo1g114650	MF1	AT3G19500
Bo1g114600	MF1	AT3G19540
Bo1g113560	MF1	AT3G19550
Bo1g113550	MF1	AT3G19553
Bo1g113540	MF1	AT3G19570
Bo1g113530	MF1	AT3G19580
Bo1g113520	MF1	AT3G19590
Bo1g113510	MF1	AT3G19595
Bo1g112440	MF1	AT3G19680
Bo1g112430	MF1	AT3G19700
Bo1g112400	MF1	AT3G19720
Bo1g112390	MF1	AT3G19740
Bo1g112380	MF1	AT3G19760
Bo1g112370	MF1	AT3G19800
Bo1g112360	MF1	AT3G19820
Bo1g112340	MF1	AT3G19830
Bo1g112320	MF1	AT3G19850
Bo1g112310	MF1	AT3G19860
Bo1g112300	MF1	AT3G19870
Bo1g112290	MF1	AT3G19880
Bo1g111280	MF1	AT3G19900
Bo1g111270	MF1	AT3G19910
Bo1g110210	MF1	AT3G19950
Bo1g110190	MF1	AT3G19990
Bo1g110180	MF1	AT3G20000
Bo1g110170	MF1	AT3G20010
Bo1g110160	MF1	AT3G20010
Bo1g109040	MF1	AT3G20250
Bo1g109010	MF1	AT3G20290
Bo1g108980	MF1	AT3G20300
Bo1g108970	MF1	AT3G20310
Bo1g108950	MF1	AT3G20340
Bo1g108830	MF1	AT3G20557
Bo1g108820	MF1	AT3G20570
Bo1g108810	MF1	AT3G20580
Bo1g108800	MF1	AT3G20590
Bo1g108770	MF1	AT3G20640
Bo1g108750	MF1	AT3G20650
Bo1g108740	MF1	AT3G20670
Bo1g108730	MF1	AT3G20680
Bo1g108700	MF1	AT3G20720
Bo1g108690	MF1	AT3G20730
Bo1g108670	MF1	AT3G20750
Bo1g108640	MF1	AT3G20790
Bo1g108630	MF1	AT3G20800
Bo1g108620	MF1	AT3G20820
Bo1g108580	MF1	AT3G20840
Bo1g108570	MF1	AT3G20860
Bo1g108560	MF1	AT3G20880
Bo1g108500	MF1	AT3G20898
Bo1g108470	MF1	AT3G20920
Bo1g108330	MF1	AT3G21055
Bo1g108320	MF1	AT3G21070
Bo1g108270	MF1	AT3G21100
Bo1g108260	MF1	AT3G21110
Bo1g108250	MF1	AT3G21140
Bo1g108230	MF1	AT3G21190
Bo1g108220	MF1	AT3G21200
Bo1g108200	MF1	AT3G21215
Bo1g107200	MF1	AT3G21250
Bo1g107190	MF1	AT3G21260
Bo1g107170	MF1	AT3G21270
Bo1g107160	MF1	AT3G21290
Bo1g107150	MF1	AT3G21290
Bo1g107140	MF1	AT3G21320
Bo1g105240	MF1	AT3G21370
Bo1g107110	MF1	AT3G21370
Bo1g107100	MF1	AT3G21370
Bo1g107090	MF1	AT3G21380
Bo1g107080	MF1	AT3G21420
Bo1g107040	MF1	AT3G21460
Bo1g105900	MF1	AT3G21510
Bo1g107000	MF1	AT3G21520
Bo1g105850	MF1	AT3G21560
Bo1g105840	MF1	AT3G21570
Bo1g105830	MF1	AT3G21670
Bo1g105700	MF1	AT3G21700
Bo1g105690	MF1	AT3G21710
Bo1g105620	MF1	AT3G21770
Bo1g105580	MF1	AT3G21810
Bo1g105570	MF1	AT3G21865
Bo1g105550	MF1	AT3G21880
Bo1g105540	MF1	AT3G21890
Bo1g105480	MF1	AT3G22070
Bo1g105450	MF1	AT3G22120
Bo1g105440	MF1	AT3G22160
Bo1g105420	MF1	AT3G22170
Bo1g105350	MF1	AT3G22180
Bo1g105340	MF1	AT3G22190
Bo1g105330	MF1	AT3G22200
Bo1g105320	MF1	AT3G22230
Bo1g105310	MF1	AT3G22231
Bo1g105260	MF1	AT3G22260
Bo1g105250	MF1	AT3G22270
Bo1g105200	MF1	AT3G22310
Bo1g105190	MF1	AT3G22360
Bo1g105170	MF1	AT3G22380
Bo1g105160	MF1	AT3G22400
Bo1g105140	MF1	AT3G22410
Bo1g105060	MF1	AT3G22421
Bo1g105100	MF1	AT3G22425
Bo1g105090	MF1	AT3G22425
Bo1g105080	MF1	AT3G22440
Bo1g105070	MF1	AT3G22450
Bo1g105040	MF1	AT3G22520
Bo1g105030	MF1	AT3G22530
Bo1g105020	MF1	AT3G22550
Bo1g105010	MF1	AT3G22560
Bo1g105000	MF1	AT3G22580
Bo1g104990	MF1	AT3G22620
Bo1g104980	MF1	AT3G22630
Bo1g104960	MF1	AT3G22640
Bo1g104950	MF1	AT3G22660
Bo1g104920	MF1	AT3G22750
Bo1g104870	MF1	AT3G22760
Bo1g104860	MF1	AT3G22790
Bo1g103820	MF1	AT3G22810
Bo1g103800	MF1	AT3G22820
Bo1g103760	MF1	AT3G22830
Bo1g103750	MF1	AT3G22840
Bo1g103730	MF1	AT3G22845
Bo1g103720	MF1	AT3G22880
Bo1g103660	MF1	AT3G22900
Bo1g103650	MF1	AT3G22910
Bo1g103630	MF1	AT3G22930
Bo1g103570	MF1	AT3G22942
Bo1g103550	MF1	AT3G22960
Bo1g103540	MF1	AT3G22961
Bo1g103520	MF1	AT3G23000
Bo1g103470	MF1	AT3G23030
Bo1g103440	MF1	AT3G23080
Bo1g102390	MF1	AT3G23130
Bo1g102320	MF1	AT3G23150
Bo1g102310	MF1	AT3G23175
Bo1g102290	MF1	AT3G23180
Bo1g102280	MF1	AT3G23200
Bo1g102270	MF1	AT3G23210
Bo1g102190	MF1	AT3G23250
Bo1g102160	MF1	AT3G23270
Bo1g102110	MF1	AT3G23280
Bo1g102040	MF1	AT3G23290
Bo1g102010	MF1	AT3G23310
Bo1g101920	MF1	AT3G23430
Bo1g101850	MF1	AT3G23460
Bo1g101830	MF1	AT3G23540
Bo1g101790	MF1	AT3G23550
Bo1g101670	MF1	AT3G23570
Bo1g101710	MF1	AT3G23590
Bo1g101720	MF1	AT3G23590
Bo1g101610	MF1	AT3G23620
Bo1g101580	MF1	AT3G23630
Bo1g101480	MF1	AT3G23670
Bo1g101470	MF1	AT3G23690
Bo1g101450	MF1	AT3G23710
Bo1g101360	MF1	AT3G23750
Bo1g101350	MF1	AT3G23770
Bo1g101290	MF1	AT3G23805
Bo1g101280	MF1	AT3G23810
Bo1g101240	MF1	AT3G23820
Bo1g101270	MF1	AT3G23830
Bo1g099920	MF1	AT3G23940
Bo1g099950	MF1	AT3G24020
Bo1g099960	MF1	AT3G24040
Bo1g100050	MF1	AT3G24060
Bo1g100070	MF1	AT3G24070
Bo1g101080	MF1	AT3G24100
Bo1g101130	MF1	AT3G24150
Bo1g101140	MF1	AT3G24160
Bo1g101160	MF1	AT3G24190
Bo1g101210	MF1	AT3G24250
Bo1g101150	MF1	AT3G24260
Bo1g101220	MF1	AT3G24260
Bo1g099890	MF1	AT3G24290
Bo1g098850	MF1	AT3G24350
Bo1g098830	MF1	AT3G24420
Bo1g098810	MF1	AT3G24495
Bo2g138380	MF1	AT3G25540
Bo2g138420	MF1	AT3G25545
Bo2g138430	MF1	AT3G25560
Bo2g138470	MF1	AT3G25585
Bo2g138480	MF1	AT3G25590
